Episode,Failure
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,101
101,102
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,110
110,111
111,112
112,113
113,114
114,115
115,116
116,117
117,118
118,119
119,120
120,121
121,122
122,123
123,124
124,125
125,126
126,127
127,128
128,129
129,130
130,131
131,132
132,133
133,134
134,135
135,136
136,137
137,138
138,139
139,140
140,141
141,142
142,143
143,144
144,145
145,146
146,147
147,148
148,149
149,150
150,151
151,152
152,153
153,154
154,155
155,156
156,157
157,158
158,159
159,160
160,161
161,162
162,163
163,164
164,165
165,166
166,167
167,168
168,169
169,170
170,171
171,172
172,173
173,174
174,175
175,176
176,177
177,178
178,179
179,180
180,181
181,182
182,183
183,184
184,185
185,186
186,187
187,188
188,189
189,190
190,191
191,192
192,193
193,194
194,195
195,196
196,197
197,198
198,199
199,200
200,201
201,202
202,203
203,204
204,205
205,206
206,207
207,208
208,209
209,210
210,211
211,212
212,213
213,214
214,215
215,216
216,217
217,218
218,219
219,220
220,221
221,222
222,223
223,224
224,225
225,226
226,227
227,228
228,229
229,230
230,231
231,232
232,233
233,234
234,235
235,236
236,237
237,238
238,239
239,240
240,241
241,242
242,243
243,244
244,245
245,246
246,247
247,248
248,249
249,250
250,251
251,252
252,253
253,254
254,255
255,256
256,257
257,258
258,259
259,260
260,261
261,262
262,263
263,264
264,265
265,266
266,267
267,268
268,269
269,270
270,271
271,272
272,273
273,274
274,275
275,276
276,277
277,278
278,279
279,280
280,281
281,282
282,283
283,284
284,285
285,286
286,287
287,288
288,289
289,290
290,291
291,292
292,293
293,294
294,295
295,296
296,297
297,298
298,299
299,300
300,301
301,302
302,303
303,304
304,305
305,306
306,307
307,308
308,309
309,310
310,311
311,312
312,313
313,314
314,315
315,315
316,316
317,317
318,318
319,319
320,320
321,321
322,322
323,323
324,324
325,325
326,326
327,326
328,327
329,328
330,329
331,330
332,331
333,332
334,333
335,334
336,335
337,336
338,336
339,336
340,337
341,337
342,338
343,338
344,338
345,339
346,340
347,341
348,342
349,342
350,343
351,344
352,345
353,345
354,346
355,347
356,348
357,348
358,349
359,349
360,350
361,351
362,352
363,353
364,353
365,353
366,354
367,354
368,354
369,354
370,355
371,356
372,357
373,358
374,359
375,359
376,360
377,360
378,360
379,360
380,360
381,361
382,361
383,362
384,362
385,362
386,362
387,363
388,364
389,364
390,364
391,364
392,365
393,366
394,366
395,367
396,367
397,367
398,368
399,368
400,368
401,369
402,370
403,370
404,370
405,370
406,371
407,372
408,373
409,373
410,374
411,375
412,375
413,376
414,377
415,377
416,378
417,379
418,380
419,381
420,382
421,383
422,383
423,383
424,383
425,383
426,383
427,384
428,384
429,384
430,385
431,386
432,387
433,388
434,389
435,390
436,391
437,392
438,393
439,394
440,395
441,395
442,396
443,397
444,398
445,399
446,399
447,400
448,400
449,401
450,401
451,402
452,403
453,404
454,405
455,406
456,407
457,408
458,409
459,410
460,411
461,411
462,412
463,413
464,414
465,414
466,414
467,414
468,414
469,414
470,414
471,415
472,415
473,416
474,416
475,417
476,418
477,419
478,419
479,419
480,419
481,419
482,419
483,419
484,420
485,420
486,420
487,420
488,420
489,420
490,421
491,422
492,423
493,424
494,425
495,425
496,425
497,425
498,425
499,426
500,426
501,426
502,426
503,426
504,426
505,426
506,427
507,428
508,428
509,429
510,429
511,429
512,429
513,430
514,430
515,430
516,430
517,430
518,431
519,432
520,433
521,433
522,433
523,433
524,434
525,435
526,435
527,435
528,435
529,435
530,435
531,435
532,435
533,436
534,436
535,437
536,437
537,437
538,437
539,437
540,438
541,439
542,439
543,440
544,440
545,440
546,440
547,440
548,441
549,441
550,441
551,441
552,441
553,441
554,442
555,442
556,443
557,443
